,,Action,,,,,,,,Reference Content,,,,,Reference Purpose,,,,
category,task no.,Observe,Describe using gesture,Select,Point generally,Point specifically,Move,Draw,Input data,Object,Scale,Position,Event,Time,Express Idea,Coordinate with Action,Seek Confirmation,Reflection,Take Example
F2F,task 1,3,1,1,0,3,11,0,0,14,0,3,2,0,9,7,2,1,0
,Task2,1,5,0,4,16,0,9,0,5,5,24,1,0,10,7,9,8,1
,Task3,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0
,task all,4,6,1,5,20,11,9,0,21,5,27,3,0,21,14,11,9,1
CSCW,task 1,7,0,0,0,0,4,0,0,7,0,2,2,0,10,0,0,1,0
,Task2,1,0,0,0,0,1,1,0,1,0,2,0,0,1,1,1,0,0
,Task3,8,0,0,0,0,0,1,2,5,0,0,3,3,3,3,2,3,0
,task all,16,0,0,0,0,5,2,2,13,0,4,5,3,14,4,3,4,0
,task all all,20,6,1,5,20,16,11,2,34,5,31,8,3,35,18,14,13,1
